ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
165,*,Daratumumab and Hyaluronidase-fihj,multiple myeloma,DARZALEX FASPRO (daratumumab and hyaluronidase-fihj- human recombinant injection,57894-503-01,,,,
166,*,Daratumumab and Hyaluronidase-fihj,light-chain amyloidosis,DARZALEX FASPRO (daratumumab and hyaluronidase-fihj- human recombinant injection,57894-503-01,,,,
167,*,Darbepoetin Alfa,Anemia,"ARANESP- darbepoetin alfa injection, solution","55513-002-01, 55513-002-04, 55513-003-01, 55513-003-04, 55513-004-01, 55513-004-04, 55513-005-01, 55513-005-04, 55513-006-01, 55513-006-21, 55513-021-01, 55513-021-04, 55513-023-01, 55513-023-04, 55513-025-01, 55513-025-04, 55513-027-01, 55513-027-04, 55513-028-01, 55513-032-01, 55513-057-01, 55513-057-04, 55513-098-01, 55513-098-04, 55513-111-01",,,,
168,*,Darolutamide,Prostate cancer,"NUBEQA- darolutamide tablet, film coated","50419-395-01, 50419-395-72",,,,
169,*,Dasatinib,Acute lymphoblastic leukemia,SPRYCEL- dasatinib tablet,"0003-0524-11, 0003-0527-11, 0003-0528-11, 0003-0852-22, 0003-0855-22, 0003-0857-22",,,,
170,*,Dasatinib,Chronic myelogenous leukemia,SPRYCEL- dasatinib tablet,"0003-0524-11, 0003-0527-11, 0003-0528-11, 0003-0852-22, 0003-0855-22, 0003-0857-22",,,,
171,epidermal growth factor receptor,Datopotamab Deruxtecan-dlnk,Non-small cell lung cancer,"DATROWAY- datopotamab deruxtecan injection, powder, lyophilized, for solution",65597-801-01,,,Yes,Yes
172,*,Datopotamab Deruxtecan-dlnk,Breast cancer,"DATROWAY- datopotamab deruxtecan injection, powder, lyophilized, for solution",65597-801-01,,,,Yes
173,*,Daunorubicin Hydrochloride,Acute myeloid leukemia,,,,,,
174,*,Daunorubicin Hydrochloride,Acute lymphoblastic leukemia,,,,,,
175,*,Daunorubicin Hydrochloride and Cytarabine Liposome,Acute myeloid leukemia,"VYXEOS (- daunorubicin and cytarabine liposome injection, powder, lyophilized, for suspension","68727-745-01, 68727-745-02, 68727-745-05",,,,
176,*,Decitabine,Myelodysplastic syndromes,,,,,,
177,*,Decitabine and Cedazuridine,Myelodysplastic syndromes,"INQOVI- cedazuridine and decitabine tablet, film coated",64842-0727-9,,,,
178,*,Defibrotide Sodium,Hepatic veno-occlusive disease,"DEFITELIO- defibrotide sodium injection, solution","68727-800-01, 68727-800-02",,,,
179,*,Degarelix,Prostate cancer,FIRMAGON- degarelix kit,"55566-8303-1, 55566-8403-1",,,,
180,*,Denileukin Diftitox-cxdl,cutaneous T-cell lymphoma,"LYMPHIR- denileukin diftitox-cxdl injection, powder, lyophilized, for solution",52658-7777-1,,,,
181,*,Denosumab,breast cancer,,,,,,
182,*,Denosumab,hypercalcemia of malignancy,,,,,,
183,*,Denosumab,broken bones and other bone problems,,,,,,
184,*,Denosumab,prostate cancer,,,,,,
185,*,Denosumab,giant cell tumor of the bone,,,,,,
186,*,Dexamethasone,Leukemia,,,,,,
187,*,Dexamethasone,Multiple myeloma,,,,,,
188,*,Dexamethasone,Anemia,,,,,,
189,*,Dexamethasone,Thrombocytopenia,,,,,,
190,*,Dexamethasone,Lymphoma,,,,,,
191,*,Dexamethasone,Hypercalcemia,,,,,,
192,*,Dexamethasone,Drug hypersensitivity,,,,,,
193,*,Dexamethasone,Cerebral edema,,,,,,
194,*,Dexamethasone,Mycosis fungoides,,,,,,
195,*,Dexrazoxane Hydrochloride,Extravasation,,,,,,
196,*,Dexrazoxane Hydrochloride,Cardiac (heart) side effects,,,,,,
197,*,Dinutuximab,Neuroblastoma,UNITUXIN- dinutuximab injection,66302-014-01,,,,
198,*,Docetaxel,Prostate cancer,,,,,,
199,*,Docetaxel,Squamous cell carcinoma of the head and neck,,,,,,
200,*,Docetaxel,gastroesophageal junction adenocarcinoma,,,,,,
201,*,Docetaxel,Breast cancer,,,,,,
202,*,Docetaxel,Stomach adenocarcinoma,,,,,,
203,*,Docetaxel,Non-small cell lung cancer,,,,,,
204,*,Dostarlimab-gxly,endometrial cancer,JEMPERLI- dostarlimab injection,0173-0898-03,,,,Yes
205,*,Dostarlimab-gxly,solid tumors,JEMPERLI- dostarlimab injection,0173-0898-03,,,Yes,Yes
206,*,Doxorubicin Hydrochloride Liposome,Ovarian cancer,,,,,,
207,*,Doxorubicin Hydrochloride Liposome,Multiple myeloma,,,,,,
208,*,Doxorubicin Hydrochloride Liposome,AIDS-related Kaposi sarcoma,,,,,,
209,*,Doxorubicin Hydrochloride,breast cancer,,,,,,
210,*,Doxorubicin Hydrochloride,soft tissue and bone sarcomas,,,,,,
211,*,Doxorubicin Hydrochloride,Wilms tumor,,,,,,
212,*,Doxorubicin Hydrochloride,thyroid cancer,,,,,,
213,*,Doxorubicin Hydrochloride,transitional cell bladder cancer,,,,,,
214,*,Doxorubicin Hydrochloride,non-small cell lung cancer,,,,,,
215,*,Doxorubicin Hydrochloride,ovarian cancer,,,,,,
216,*,Doxorubicin Hydrochloride,"
Hodgkinlymphoma
",,,,,,
217,*,Doxorubicin Hydrochloride,acute myeloid leukemia,,,,,,
218,*,Doxorubicin Hydrochloride,neuroblastoma,,,,,,
219,*,Doxorubicin Hydrochloride,acute lymphoblastic leukemia,,,,,,
220,*,Doxorubicin Hydrochloride,gastric (stomach) cancer,,,,,,
