therapy_label,disease_label,drug_label,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Nivolumab and Hyaluronidase-nvhy,gastroesophageal junction cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",PD-L1,Yes,,,
Nivolumab and Hyaluronidase-nvhy,renal cell carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,squamous cell carcinoma of the head and neck,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,colorectal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,esophageal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",PD-L1,Yes,Yes,,
Romiplostim,Thrombocytopenia,"NPLATE- romiplostim injection, powder, lyophilized, for solution",*,,,,
Obinutuzumab,Chronic lymphocytic leukemia,"GAZYVA- obinutuzumab injection, solution, concentrate",*,,Yes,,
Obinutuzumab,Follicular lymphoma,"GAZYVA- obinutuzumab injection, solution, concentrate",*,,Yes,,
Olaparib,Prostate cancer,"LYNPARZA- olaparib tablet, film coated",Lynparza,Yes,,,
Nivolumab,hepatocellular carcinoma,OPDIVO- nivolumab injection,OPDIVO,Yes,Yes,,
Nivolumab,non-small cell lung cancer,OPDIVO- nivolumab injection,"PD-L1, EGFR, ALK, epidermal growth factor receptor, OPDIVO",Yes,Yes,,
Nivolumab,melanoma,OPDIVO- nivolumab injection,OPDIVO,Yes,,,
